,Sidewalk width,Pedestrian density,"Density of street furniture (e.g. garbage, poles)",Sidewalk / Surface roughness,Surface condition,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",Slope gradient (i.e. elevation change),Proximity to charging stations,Local attitudes towards robots,Curb ramp availability,Weather conditions,Crowd dynamics - purpose with which people navigate in the space,Traffic management systems,Surveillance coverage (CCTV),Zoning laws and regulation,Bike lane availability,Street lighting,"Existence of shade (e.g., trees)",GPS signal strength,Pedestrian flow,Bicycle traffic,Vehicle traffic,Existence of detailed digital maps of the area,Intersection safety
Sidewalk width,1.0,0.0,0.2,0.5,0.5,0.6666666666666666,0.6,1.0,0.8333333333333334,0.25,0.5,0.6,0.8,0.75,0.8333333333333334,1.0,0.75,0.8,0.6666666666666666,0.0,0.8,1.0,1.0,0.5
Pedestrian density,1.0,1.0,0.5,1.0,0.6666666666666666,0.75,0.8,1.0,0.8,0.8,0.5,0.8,0.8571428571428571,1.0,0.8,0.8,1.0,0.8,1.0,0.75,1.0,1.0,0.8333333333333334,0.75
"Density of street furniture (e.g. garbage, poles)",0.8,0.5,1.0,0.6666666666666666,0.2,0.3333333333333333,0.8,1.0,0.4,0.6,0.4,0.25,0.6666666666666666,0.25,0.8,0.8,0.75,1.0,0.6666666666666666,0.4,0.75,0.8,0.6,0.4
Sidewalk / Surface roughness,0.5,0.0,0.3333333333333333,1.0,0.0,0.6,0.4,0.4,0.6666666666666666,0.3333333333333333,0.75,0.4,0.4,1.0,1.0,0.8,0.6666666666666666,0.8333333333333334,0.5,0.4,0.3333333333333333,0.5,0.16666666666666666,0.5
Surface condition,0.5,0.3333333333333333,0.8,1.0,1.0,0.7142857142857143,0.6,1.0,0.5,0.75,0.4,0.2,0.5,0.75,0.8,1.0,0.75,1.0,0.6666666666666666,0.16666666666666666,1.0,0.8333333333333334,0.75,0.6666666666666666
"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",0.3333333333333333,0.25,0.6666666666666666,0.4,0.2857142857142857,1.0,0.7142857142857143,0.8333333333333334,0.6,0.4,0.75,0.25,0.8,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.2,0.25,0.6666666666666666,0.75,0.8,0.5
Slope gradient (i.e. elevation change),0.4,0.2,0.2,0.6,0.4,0.2857142857142857,1.0,0.8,0.25,0.6,0.16666666666666666,0.6,0.75,0.8,0.4,0.8571428571428571,0.6666666666666666,1.0,0.6666666666666666,0.25,1.0,0.2,0.16666666666666666,0.4
Proximity to charging stations,0.0,0.0,0.0,0.6,0.0,0.16666666666666666,0.2,1.0,0.16666666666666666,0.2,0.16666666666666666,0.25,0.6,0.75,0.0,0.6666666666666666,0.5,0.6,0.3333333333333333,0.25,0.25,0.4,0.5,0.0
Local attitudes towards robots,0.16666666666666666,0.2,0.6,0.3333333333333333,0.5,0.4,0.75,0.8333333333333334,1.0,0.75,0.6,0.0,0.5,0.75,0.6,0.8333333333333334,0.4,0.8,0.4,0.5,0.75,0.6666666666666666,0.5,0.25
Curb ramp availability,0.75,0.2,0.4,0.6666666666666666,0.25,0.6,0.4,0.8,0.25,1.0,0.6,0.6666666666666666,1.0,0.8,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,0.4,0.6,0.25,1.0,0.0
Weather conditions,0.5,0.5,0.6,0.25,0.6,0.25,0.8333333333333334,0.8333333333333334,0.4,0.4,1.0,0.2,0.6666666666666666,0.5,0.6666666666666666,0.75,0.5,0.8333333333333334,0.6,0.3333333333333333,0.8,0.6666666666666666,0.8,0.5
Crowd dynamics - purpose with which people navigate in the space,0.4,0.2,0.75,0.6,0.8,0.75,0.4,0.75,1.0,0.3333333333333333,0.8,1.0,0.5,0.8,0.6,1.0,0.8,1.0,0.8,0.3333333333333333,1.0,1.0,1.0,0.5
Traffic management systems,0.2,0.14285714285714285,0.3333333333333333,0.6,0.5,0.2,0.25,0.4,0.5,0.0,0.3333333333333333,0.5,1.0,0.8,0.2,1.0,0.8,0.6,0.6666666666666666,0.2,0.6,0.3333333333333333,0.5,0.4
Surveillance coverage (CCTV),0.25,0.0,0.75,0.0,0.25,0.16666666666666666,0.2,0.25,0.25,0.2,0.5,0.2,0.2,1.0,0.2,0.4,0.2,0.4,0.0,0.0,0.3333333333333333,0.4,0.2,0.0
Zoning laws and regulation,0.16666666666666666,0.2,0.2,0.0,0.2,0.16666666666666666,0.6,1.0,0.4,0.6666666666666666,0.3333333333333333,0.4,0.8,0.8,1.0,0.6,0.5,1.0,0.4,0.5,0.6,0.4,0.4,0.3333333333333333
Bike lane availability,0.0,0.2,0.2,0.2,0.0,0.0,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.0,0.0,0.6,0.4,1.0,1.0,0.6,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.2
Street lighting,0.25,0.0,0.25,0.3333333333333333,0.25,0.0,0.3333333333333333,0.5,0.6,0.3333333333333333,0.5,0.2,0.2,0.8,0.5,0.0,1.0,0.8,0.2,0.0,0.5,0.2,0.14285714285714285,0.0
"Existence of shade (e.g., trees)",0.2,0.2,0.0,0.16666666666666666,0.0,0.0,0.0,0.4,0.2,0.0,0.16666666666666666,0.0,0.4,0.6,0.0,0.4,0.2,1.0,0.25,0.0,0.0,0.2,0.2,0.0
GPS signal strength,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.8,0.3333333333333333,0.6666666666666666,0.6,0.3333333333333333,0.4,0.2,0.3333333333333333,1.0,0.6,0.5,0.8,0.75,1.0,0.2,1.0,0.5714285714285714,0.25,0.3333333333333333
Pedestrian flow,1.0,0.25,0.6,0.6,0.8333333333333334,0.75,0.75,0.75,0.5,0.6,0.6666666666666666,0.6666666666666666,0.8,1.0,0.5,1.0,1.0,1.0,0.8,1.0,1.0,0.75,0.75,0.6666666666666666
Bicycle traffic,0.2,0.0,0.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0.75,0.25,0.4,0.2,0.0,0.4,0.6666666666666666,0.4,0.6666666666666666,0.5,1.0,0.0,0.0,1.0,0.4,0.4,0.2
Vehicle traffic,0.0,0.0,0.2,0.5,0.16666666666666666,0.25,0.8,0.6,0.3333333333333333,0.75,0.3333333333333333,0.0,0.6666666666666666,0.6,0.6,0.8333333333333334,0.8,0.8,0.42857142857142855,0.25,0.6,1.0,0.42857142857142855,0.5
Existence of detailed digital maps of the area,0.0,0.16666666666666666,0.4,0.8333333333333334,0.25,0.2,0.8333333333333334,0.5,0.5,0.0,0.2,0.0,0.5,0.8,0.6,1.0,0.8571428571428571,0.8,0.75,0.25,0.6,0.5714285714285714,1.0,0.3333333333333333
Intersection safety,0.5,0.25,0.6,0.5,0.3333333333333333,0.5,0.6,1.0,0.75,1.0,0.5,0.5,0.6,1.0,0.6666666666666666,0.8,1.0,1.0,0.6666666666666666,0.3333333333333333,0.8,0.5,0.6666666666666666,1.0
